Time,pressure
20.496,39.37
20.526,39.37
20.555,39.53
20.58,39.53
20.61,39.52
20.636,39.53
20.659,39.53
20.684,39.53
20.71,39.37
20.738,39.53
20.762,39.53
20.788,39.2
20.976,39.36
21.039,39.52
21.064,39.52
21.093,39.37
21.118,39.37
21.146,39.37
21.184,39.37
21.21,39.36
21.241,39.36
21.29,39.36
21.355,39.36
21.396,39.36
21.446,39.36
21.501,39.52
21.55,39.36
21.608,39.37
21.683,39.52
21.703,39.37
22.719,39.37
22.761,39.37
22.791,39.37
22.822,39.37
22.85,39.37
22.875,39.37
22.9,39.52
22.922,39.52
22.946,39.36
22.968,39.36
22.99,39.36
23.014,39.37
23.038,39.37
23.062,39.37
23.096,39.37
23.121,39.37
23.149,39.37
23.174,39.37
23.198,39.36
23.222,39.36
23.243,39.36
23.263,39.36
23.282,39.36
23.302,39.37
23.326,39.37
23.345,39.37
23.364,39.37
23.384,39.37
23.405,39.37
23.425,39.37
23.447,39.36
23.472,39.36
23.493,39.36
23.514,39.36
23.541,39.36
23.562,39.36
23.608,39.36
23.662,39.37
23.709,39.37
23.752,39.2
23.801,39.37
23.86,39.36
23.909,39.36
23.953,39.37
24.003,39.37
24.054,39.36
24.118,38.88
24.173,39.36
24.23,39.36
24.285,39.52
24.338,39.21
24.376,39.36
24.426,39.36
24.49,39.37
24.524,39.36
24.582,39.36
24.651,39.37
24.68,39.37
24.727,39.36
24.807,39.37
24.837,39.36
24.905,39.37
24.936,39.37
24.984,39.37
25.032,39.21
25.083,39.52
25.134,39.2
25.197,39.21
25.236,39.37
25.39,39.36
25.424,39.36
25.454,39.37
25.482,39.37
25.511,39.37
25.559,39.37
25.595,39.37
25.659,39.37
25.694,39.37
25.741,39.36
25.794,39.37
25.852,39.36
25.912,39.37
25.968,39.36
26.014,39.36
26.059,39.36
26.119,39.36
26.15,39.36
26.2,39.37
26.252,39.37
26.305,39.36
26.352,39.36
26.402,39.37
26.452,39.36
26.503,39.37
26.555,39.21
26.612,39.37
26.654,39.36
26.706,39.36
26.759,39.37
26.806,39.2
26.856,39.68
26.913,39.37
26.963,39.37
27.012,39.37
27.072,39.36
27.114,39.37
27.163,39.36
27.222,39.37
27.268,39.52
27.324,39.36
27.379,39.36
27.423,39.37
27.471,39.37
27.516,39.36
27.582,39.36
27.624,39.37
27.674,39.36
27.724,39.37
27.775,39.37
27.826,39.37
27.877,39.36
27.927,39.21
27.983,39.37
28.028,39.37
28.088,39.37
28.135,39.37
28.182,39.37
28.236,39.37
28.287,39.36
28.338,39.36
28.385,39.37
28.435,39.37
28.486,39.37
28.536,39.37
28.594,39.37
28.637,39.52
28.687,39.36
