Time,eeeee,vell
14.68,1520,139.3
14.718,1553,139.3
14.802,1424,139.3
14.839,1456,139.2
14.871,1409,139.3
14.948,1457,139.3
14.994,1393,139.2
15.047,1456,139.2
15.083,1393,139.3
15.122,1456,139.2
15.195,1376,139.2
15.241,1457,139.2
15.275,1377,140.9
15.342,1457,139.3
15.398,1377,139.2
15.439,1472,139.2
15.477,1360,139.2
15.543,1473,139.3
15.588,1361,139.3
15.629,1473,139.2
15.713,1361,139.2
15.77,1456,139.2
15.807,1361,139.2
15.845,1473,139.3
15.883,1360,139.3
15.961,1505,139.2
16.002,1457,140.9
16.049,1568,139.3
16.094,1456,139.2
16.132,1536,139.3
16.209,1536,139.3
16.247,1521,139.2
16.287,1553,139.3
16.354,1504,139.3
16.408,1552,139.3
16.443,1505,139.2
16.48,1552,139.2
16.545,1488,139.3
16.587,1552,139.2
16.663,1488,139.2
16.706,1568,139.2
16.746,1473,139.2
16.811,1568,139.2
16.848,1473,139.3
16.894,1568,139.3
16.967,1473,139.3
17.02,1568,139.2
17.055,1472,139.2
17.106,1568,139.3
17.163,1472,139.2
17.206,1569,139.2
17.26,1472,139.3
17.309,1569,139.3
17.344,1456,139.2
17.394,1568,139.3
17.471,1473,139.2
17.529,1585,139.2
17.576,1472,139.3
17.629,1568,139.3
17.664,1473,139.3
17.718,1584,139.2
17.757,1457,139.2
17.812,1585,139.2
17.845,1472,139.2
17.923,1569,139.2
17.961,1473,139.3
18.009,1568,139.2
18.053,1473,139.3
18.125,1568,139.3
18.176,1568,139.3
18.212,1489,139.3
18.265,1568,139.2
18.312,1473,137.6
18.378,1569,139.2
18.43,1472,139.3
18.469,1568,139.3
18.515,1473,139.2
18.58,1569,139.3
18.628,1456,139.2
18.664,1569,139.2
18.716,1473,137.6
18.763,1585,139.3
18.815,1456,139.2
18.865,1569,139.2
18.958,1585,139.2
19.014,1457,139.2
19.06,1568,139.3
19.098,1568,139.3
19.15,1568,139.3
19.196,1456,139.2
19.245,1568,139.2
19.29,1440,139.3
19.328,1568,139.3
19.372,1456,139.2
19.414,1568,139.3
19.504,1473,137.7
19.553,1569,140.8
19.603,1473,139.3
19.652,1568,139.2
19.703,1472,139.3
19.746,1568,139.3
19.809,1488,139.3
19.865,1489,137.7
19.933,1569,140.8
19.984,1489,139.2
20.044,1553,139.3
20.1,1505,139.2
20.144,1488,139.3
20.197,1585,139.3
20.259,1457,139.2
20.306,1568,139.2
20.351,1457,139.2
20.397,1569,139.3
20.457,1457,137.7
20.506,1568,139.2
20.572,1569,139.3
20.621,1457,139.2
20.663,1457,139.2
20.697,1569,139.3
20.757,1456,139.2
20.809,1568,139.3
20.846,1457,139.2
20.892,1568,139.2
20.947,1457,139.3
20.988,1584,139.2
21.033,1456,139.2
21.077,1568,139.3
21.118,1568,139.3
21.165,1473,139.2
21.202,1568,139.3
21.249,1488,139.2
21.296,1553,139.3
21.342,1488,139.3
21.383,1569,139.3
21.458,1488,139.3
21.514,1553,139.3
21.551,1489,139.2
21.603,1552,139.2
21.64,1505,139.3
21.687,1552,137.6
21.77,1504,139.3
21.812,1553,139.3
21.858,1505,139.2
21.891,1552,139.3
21.958,1521,139.2
22.006,1537,139.3
22.042,1520,139.2
22.124,1536,139.3
22.165,1584,139.2
22.208,1457,139.2
22.254,1569,139.3
22.313,1472,139.2
22.349,1569,139.3
